Date,True Values,Predicted Values
2021-02-09,9.28,9.150714
2021-02-10,9.3,9.16624
2021-02-11,9.24,9.189968
2021-02-15,9.25,9.1601715
2021-02-16,9.3,9.191401
2021-02-17,9.28,9.204701
2021-02-18,9.27,9.195249
2021-02-19,8.95,8.766361
2021-02-22,8.92,8.792382
2021-02-23,9.0,8.819648
2021-02-24,9.13,8.920679
2021-02-25,9.14,8.987399
2021-02-26,9.1,8.954574
2021-03-01,9.07,8.92637
2021-03-02,9.09,8.923576
2021-03-03,9.1,8.980417
2021-03-04,9.12,8.998976
2021-03-05,9.07,8.956435
2021-03-08,9.05,8.928895
2021-03-09,9.06,8.882522
2021-03-10,9.03,8.910878
2021-03-11,9.01,8.885587
2021-03-12,9.05,8.880445
2021-03-15,9.09,8.920185
2021-03-16,9.08,8.951177
2021-03-17,9.19,8.981294
2021-03-18,9.24,9.1641
2021-03-19,9.1,9.123155
2021-03-22,9.28,9.086241
2021-03-23,9.1,9.093673
2021-03-24,8.93,8.928275
2021-03-25,8.85,8.832958
2021-03-26,8.95,8.766616
2021-03-29,9.0,8.852644
2021-03-30,9.04,8.891063
2021-03-31,8.95,8.871333
2021-04-01,8.9,8.827629
2021-04-02,8.89,8.768824
2021-04-05,8.85,8.754281
2021-04-06,8.81,8.719264
2021-04-07,8.85,8.725986
2021-04-08,8.8,8.720317
2021-04-09,8.88,8.736976
2021-04-12,8.83,8.746377
2021-04-13,8.77,8.714672
2021-04-14,8.7,8.624946
2021-04-15,8.6,8.527045
2021-04-16,8.5,8.476846
2021-04-19,8.42,8.414608
2021-04-20,8.43,8.348772
2021-04-21,8.46,8.350485
2021-04-22,8.5,8.39607
2021-04-23,8.43,8.396081
2021-04-26,8.4,8.346986
2021-04-27,8.49,8.360068
2021-04-28,8.5,8.437861
2021-04-30,8.43,8.402141
2021-05-03,8.45,8.357208
2021-05-04,8.52,8.378776
2021-05-05,8.51,8.43076
2021-05-06,8.45,8.3737
2021-05-07,8.46,8.3523445
2021-05-10,8.45,8.373178
2021-05-11,8.32,8.313447
2021-05-12,8.2,8.192733
2021-05-17,8.26,8.166831
2021-05-18,8.18,8.151105
2021-05-19,8.1,8.118627
2021-05-20,8.16,8.053811
2021-05-21,8.08,8.064616
2021-05-24,8.11,8.035231
2021-05-25,8.1,8.049045
2021-05-27,8.18,8.157354
2021-05-28,8.17,8.132705
2021-05-31,8.17,8.081012
2021-06-01,8.11,8.091666
2021-06-02,8.2,8.103313
2021-06-03,8.22,8.150177
2021-06-04,8.19,8.139299
2021-06-08,8.17,8.113863
2021-06-09,8.11,8.096949
2021-06-10,8.11,8.044517
2021-06-11,8.09,8.040013
